Période;Valeur;Code;Type;Sous-type;Base;Population;Zone concernée;Code COICOP;Désignation COICOP;Série arrêtée;Référence INSEE
2022-07-01;120.08;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;04;Logement, eau, gaz, électricité et autres combustibles;Non;1763979
2022-07-01;107.65;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;04.4.3.0;Reprise des eaux usées;Non;1763998
2022-07-01;97.26;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;05.3.2;Petits appareils électroménagers;Non;1764041
2022-07-01;107.36;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;06.2.3.2;Cures thermales, transport sanitaire et location de matériel thérapeutique;Non;1764088
2022-07-01;126.21;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;07;Transports;Non;1764090
2022-07-01;113.92;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;07.1.1.1;Automobiles neuves;Non;1764093
2022-07-01;132.81;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;07.2;Dépenses d'utilisation des véhicules;Non;1764099
2022-07-01;105.26;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;09.5.1;Livres;Non;1764207
2022-07-01;111.11;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;12.1.1;Salons de coiffure et instituts de soins et de beauté;Non;1764244
2022-07-01;112.89;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;12.5.4;Assurance transport;Non;1764272
